,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Air,"31,099","53,226","108,442","119,591","190,766","275,864","337,215","329,788","345,020","351,096","376,873","391,594","419,282","439,263","449,104","473,082","500,432","473,592","472,191","497,648","547,931","572,869","576,823","594,614","570,090","540,694","554,711","565,614","570,438","579,461","597,005","632,155","661,478","685,472","722,415"
"Highway, total","1,272,078","1,555,237","2,042,002","2,404,954","2,653,510","2,991,121","3,539,603","3,578,582","3,676,688","3,747,068","3,939,875","3,848,458","3,951,009","4,071,137","4,182,066","4,285,299","4,370,489","4,623,398","4,646,521","4,701,825","4,824,654","4,867,608","4,908,059","4,959,767","4,900,171","5,000,592","5,009,806","4,997,049","5,046,332","5,083,123","5,158,161","5,282,710","5,411,828","5,482,190","5,545,845"
