 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , SEA08CA056 ,12/31/2007," Santa Ana, CA ",33.675556,-117.868056, SNA , John Wayne - Orange County , Non-Fatal , Substantial , Airplane , N2800D , Piper , PA-12 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,2/28/2008
 Accident , LAX08FA043 ,12/30/2007," Paso Robles, CA ",35.542222,-120.522778, PRB , Paso Robles Airport , Fatal(1) , Substantial , Airplane , N254SR , Cirrus Design Corp. , SR22 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, VMC , MANEUVERING ,6/20/2014
 Accident , DEN08CA045 ,12/29/2007," Gunnison, CO ",38.533889,-106.933056,  ,  , Non-Fatal , Substantial , Airplane , N33MF , Piper , PA-46-310P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,5, VMC , TAKEOFF ,2/28/2008
 Accident , CHI08CA058 ,12/29/2007," Crystal Falls, MI ",46.8,-88.36,  ,  , Non-Fatal , Substantial , Airplane , N8191U , Cessna , 172F ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,2/28/2008
 Accident , CHI08CA056 ,12/29/2007," Abingdon, IL ",40.799722,-90.438611,  ,  , Non-Fatal , Substantial , Airplane , N94131 , Ercoupe (Eng & Research Corp.) , 415D ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , MANEUVERING ,2/28/2008
 Accident , DFW08CA051 ,12/28/2007," Houston, TX ",29.935,-95.639444, EYQ , WEISER AIR PARK , Non-Fatal , Substantial , Airplane , N1458U , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,1/31/2008
 Accident , CHI08FA055 ,12/27/2007," Traverse City, MI ",44.737222,-85.5275, TVC , Cherry Capital Airport , Fatal(1) , Destroyed , Airplane , N37249 , CESSNA , 310R ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,1,,, IMC , APPROACH ,8/5/2011
 Accident , SEA08CA052 ,12/26/2007," Fullerton, CA ",33.871945,-117.979723, FUL , Fullerton Municipal , Non-Fatal , Substantial , Airplane , N13974 , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , TAXI ,2/28/2008
 Accident , NYC08LA070 ,12/26/2007," Pittstown, NJ ",40.5875,-75.019167, N85 , Alexandria Airport , Non-Fatal , Substantial , Airplane , N9412X , CESSNA , 182R ,1, Reciprocating , Part 91: General Aviation , NSCH , Personal ,  ,0,0,0,1, VMC , TAKEOFF ,2/25/2009
 Accident , MIA08LA032 ,12/26/2007," Sarasota, FL ",27.390555,-82.552778, SRQ , Sarasota/Bradenton Intl , Non-Fatal , Substantial , Airplane , N5875Q , Mooney , M20E ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,0,0,2,0, VMC , TAKEOFF ,1/14/2009
 Accident , MIA08CA045 ,12/26/2007," Northampton, MA ",42.328056,-72.611389, K7B2 , Northampton , Non-Fatal , Substantial , Airplane , N5425K , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , TAKEOFF ,2/28/2008
 Accident , ANC08LA030 ,12/26/2007," North Pole, AK ",65.765278,-147.390555, 95Z , Bradley Sky-Ranch Airport , Non-Fatal , Substantial , Airplane , N7637D , PIPER , PA-22-150 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , GO-AROUND ,12/11/2008
 Accident , SEA08LA051 ,12/25/2007," Honolulu, HI ",21.318611,-157.9225, HNL , Honolulu International , Non-Fatal ,  , Airplane , N819NW , Airbus Industrie , A330-323 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  ," Northwest Airlines, Inc. ",0,1,3,291, VMC , CRUISE ,1/14/2009
 Accident , SEA08LA050 ,12/25/2007," Ontario, CA ",34.056111,-117.601111, ONT , Ontario International , Non-Fatal ,  , Airplane , N943AS , MCDONNELL DOUGLAS , DC-9-83 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  ," Alaska Airlines, Inc. ",0,2,0,112, VMC , DESCENT ,1/14/2009
 Accident , SEA08CA053 ,12/23/2007," Truckee, CA ",39.472778,-120.3325,  ,  , Non-Fatal , Substantial , Airplane , N9086Y , Piper , PA-18-150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,2/28/2008
 Accident , NYC08CA068 ,12/22/2007," Alton, NH ",43.386666,-71.233333, NH15 , Locke Lake Airport , Non-Fatal , Substantial , Airplane , N3070A , Cessna , 170B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , MANEUVERING ,2/28/2008
 Accident , NYC08CA067 ,12/22/2007," Carrollton, GA ",33.63,-85.151667, CTJ , West Georgia Regional , Non-Fatal , Substantial , Airplane , N9371M , Mooney , M20F ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, IMC , APPROACH ,2/28/2008
 Accident , LAX08CA041 ,12/22/2007," Holbrook, AZ ",35.933889,-110.133611, P14 , Holbrook , Non-Fatal , Substantial , Airplane , N418MS , Found Acft , FBA-2C2 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,2, VMC , LANDING ,2/28/2008
 Accident , DFW08CA049 ,12/22/2007," Austin, TX ",30.525,-98.358333, 4R2 , HORSESHOE BAY AIRPARK , Non-Fatal , Substantial , Airplane , N212CG , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,2/28/2008
 Accident , DEN08CA043 ,12/22/2007," Gallup, NM ",35.500833,-108.783889, GUP , GALLUP MUNICIPAL , Non-Fatal , Substantial , Airplane , N8305V , Champion , 7GCAA ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,2/28/2008
 Accident , DFW08LA134 ,12/21/2007," Glenwood, NM ",33.3575,-108.673889,  ,  , Fatal(2) , Destroyed , Airplane , N28836 , CESSNA , 310 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,0,0,0,  , UNKNOWN ,12/28/2008
 Accident , NYC08CA066 ,12/20/2007," Blue Bell, PA ",40.134444,-75.276389, LOM , Wings Field , Non-Fatal , Substantial , Airplane , N4814L , Piper , PA28-180 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/30/2008
 Accident , DFW08CA047 ,12/20/2007," Medford, OK ",36.787777,-97.742777, OK68 , MEDFORD MUNI , Non-Fatal , Substantial , Airplane , N5957F , Cessna , 210 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , LANDING ,2/28/2008
 Accident , CHI08FA054 ,12/20/2007," Warrens, WI ",44.216389,-90.428334,  ,  , Fatal(1) , Destroyed , Airplane , N1919H , Piper , PA-32R-300 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, IMC , CRUISE ,12/28/2008
 Accident , CHI08FA053 ,12/20/2007," Springfield, IL ",39.736389,-89.804444, KSPI , Abraham Lincoln Capital Arpt , Fatal(3) , Destroyed , Airplane , N17784 , Beech , V35B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3,,,, IMC , APPROACH ,5/10/2010
 Accident , MIA08CA046 ,12/19/2007," Pittsburgh, PA ",40.354444,-79.930278, KAGC , Alleghney County Airport , Non-Fatal , Substantial , Airplane , N13616 , Cessna , Citation 510 ,2, Turbo Jet , Part 91: General Aviation ,  , Ferry ,  ,,,,2, VMC , CRUISE ,3/31/2008
 Accident , MIA08CA031 ,12/19/2007," Dunnellon, FL ",29.061667,-82.376389,  ,  , Non-Fatal , Substantial , Airplane , N5811M , Cessna , 310P ,2, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , TAKEOFF ,2/28/2008
 Accident , MIA08CA030 ,12/18/2007," Talladega, AL ",33.568611,-86.050556, ASN , TALLADEGA MUNI , Non-Fatal , Substantial , Airplane , N2180E , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,3/31/2008
 Accident , LAX08CA039 ,12/18/2007," Phoenix, AZ ",33.427223,-112.018334, PHX , Phoenix Sky Harbor Intl. , Non-Fatal , Substantial , Airplane , N5499J , Cessna , 310R ,2, Reciprocating , Part 135: Air Taxi & Commuter , NSCH ,  ," Aero Charter & Transport, Inc. ",,,,1, VMC , TAXI ,2/28/2008
 Accident , ANC08LA027 ,12/18/2007," Bethel, AK ",60.795,-161.888333, PABE , Bethel , Non-Fatal , Substantial , Airplane , N5187B , CESSNA , 208B ,1, Turbo Prop , Part 135: Air Taxi & Commuter , NSCH ,  , Arctic Circle Air Service Inc. ,,1,1,, VMC , CLIMB ,11/17/2009
 Accident , DCA08FA018 ,12/16/2007," Providence, RI ",,, KPVD , Theodore F. Green State , Non-Fatal , Substantial , Airplane , N470ZW , BOMBARDIER , CL600-2B19 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  , Air Wisconsin Airlines ,,,,34, IMC , LANDING ,5/29/2012
 Accident , DEN08LA041 ,12/15/2007," Phillipsburg, KS ",39.7375,-99.3175, PHG , Phillipsburg Municipal , Non-Fatal , Destroyed , Airplane , N63LH , Mooney , M20C ,, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,0,1,1,0, VMC , CRUISE ,12/24/2008
 Accident , SEA08CA047 ,12/14/2007," El Cajon, CA ",32.8325,-116.975834, SEE , Gillespie Field , Non-Fatal , Substantial , Airplane , N567SP , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , TAXI ,1/31/2008
 Accident , NYC08LA062B ,12/14/2007," New York, NY ",40.658333,-73.786666, JFK , John F. Kennedy International , Non-Fatal , Substantial , Airplane , N184JB , EMBRAER , EMB-190 ,2, Turbo Fan , Part 91: General Aviation , SCHD , Positioning ,  ,,,,5, IMC , STANDING ,9/30/2009
 Accident , NYC08LA062A ,12/14/2007," New York, NY ",40.658333,-73.786666, JFK , John F. Kennedy International , Non-Fatal , Substantial , Airplane , B-2477 , BOEING , B747-433BCF ,4,  , Part 129: Foreign , SCHD , Positioning , Air China Airlines ,,,,5, IMC , TAXI ,9/30/2009
 Accident , CHI08FA050 ,12/14/2007," Chicago, IL ",41.978611,-87.904722, ORD , Chicago O'Hare Intl , Non-Fatal , Minor , Airplane , N220UA , Boeing , 777-222 ,2, Turbo Fan , Part 121: Air Carrier , SCHD ,  ,  ,0,1,0,263, VMC , APPROACH ,12/24/2008
 Accident , NYC08CA072 ,12/13/2007," Lancaster, PA ",40.121667,-76.295833, LNS , Lancaster Airport , Non-Fatal , Substantial , Airplane , N777EV , Beech , BE-55 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , APPROACH ,2/28/2008
 Accident , NYC08CA063 ,12/13/2007," Key Largo, FL ",25.041666,-80.488333,  ,  , Non-Fatal , Substantial , Airplane , N961PH , Maule , M-7-235 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , LANDING ,2/28/2008
 Accident , MIA08LA029 ,12/13/2007," Marathon, FL ",24.783333,-81.137777, MTH , The Florida Keys Marathon Airp , Non-Fatal , Substantial , Airplane , N801VC , PIPER , PA32-260 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,0,0,2,0, VMC , CRUISE ,1/14/2009
 Accident , NYC08CA073 ,12/12/2007," Muscle Shoals, AL ",34.745277,-87.610278, MLS , Muscle Shoals , Non-Fatal , Substantial , Airplane , N112ED , Piper , PA-31T ,2, Turbo Prop , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,6/17/2019
 Accident , SEA08FA045 ,12/11/2007," Minersville, UT ",38.1125,-113.001111,  ,  , Fatal(3) , Destroyed , Airplane , N364KW , BEECH , A36TC ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3,0,0,0, VMC , CRUISE ,11/10/2008
 Accident , CHI08CA048 ,12/11/2007," Elyria, OH ",41.344166,-82.1775, LPR , Lorain County Regional , Non-Fatal , Substantial , Airplane , N2699G ," Smith, Ted Aerostar ", Aerostar 601 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, IMC , TAKEOFF ,1/31/2008
 Accident , SEA08FA042 ,12/10/2007," Salmon, ID ",45.113889,-113.884722, KSMN , Lemhi County Airport , Fatal(2) , Destroyed , Airplane , N925TT , BEECH , 200 ,2, Turbo Prop , Part 91: General Aviation ,  , Executive/Corporate ,  ,2,,,2, IMC , TAKEOFF ,8/4/2011
 Accident , NYC08FA056 ,12/9/2007," Warrenton, VA ",38.624723,-77.753056, W66 , Warrenton-Fauquier Airport , Fatal(1) , Substantial , Airplane , N5481D , BEECH , H35 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,0,0,0, IMC , APPROACH ,12/28/2008
 Accident , MIA08CA028 ,12/9/2007," Fair Bluff, NC ",34.259722,-79.020834, 89NC , Strickland Field Airport , Non-Fatal , Destroyed , Airplane , N3699S , Cessna , 172E ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,3/31/2008
 Accident , SEA08CA044 ,12/8/2007," Spokane, WA ",47.619723,-117.533611, SFF , Spokane Felts Field , Non-Fatal , Substantial , Airplane , N9048T , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,,,,1, VMC , TAKEOFF ,1/31/2008
 Accident , NYC08FA054B ,12/8/2007," Parkland, FL ",26.347222,-80.315278,  ,  , Fatal(2) , Destroyed , Airplane , N24478 , CESSNA , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,2,,,, VMC , CRUISE ,9/10/2015
 Accident , NYC08FA054A ,12/8/2007," Parkland, FL ",26.347222,-80.315278,  ,  , Fatal(2) , Destroyed , Airplane , N766CC , PIPER , PA-30 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,,,, VMC , CRUISE ,9/10/2015
 Accident , NYC08CA055 ,12/8/2007," Tallahassee, FL ",30.501111,-84.080278, NONE , Private Airstrip , Non-Fatal , Substantial , Airplane , N5921D , Piper , PA-22-150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , APPROACH ,1/31/2008
 Accident , MIA08FA027 ,12/8/2007," Bloomfield, KY ",37.952222,-85.235833, JVY , Clark Regional Airport , Fatal(2) , Substantial , Airplane , N5431C , CESSNA , T210N ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,0,0,0, IMC , APPROACH ,1/29/2009
 Accident , CHI08CA049 ,12/8/2007," Hastings, MI ",42.663611,-85.346111, 9D9 , Hastings Airport , Non-Fatal , Substantial , Airplane , N173DA , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,2/28/2008
 Accident , CHI08CA047 ,12/8/2007," Wausau, WI ",44.926111,-89.626389, AUW , Wausau Downtown , Non-Fatal , Substantial , Airplane , N2151J , Cessna , Skyhawk 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,1/31/2008
 Accident , MIA08FA026 ,12/7/2007," Woodland, AL ",33.627223,-85.531389,  ,  , Fatal(2) , Destroyed , Airplane , N2643C , Cessna , R182 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,2,,,, VMC , UNKNOWN ,1/26/2010
 Accident , LAX08CA036 ,12/7/2007," Battle Mountain, NV ",40.6,-116.866667, BAM , BATTLE MOUNTAIN , Non-Fatal , Substantial , Airplane , C-GPIA , Piaggio Aero Industries S.P.A. , Avanti P-180 ,2, Turbo Prop , Part 91: General Aviation ,  , Business ,  ,,,,2, IMC , LANDING ,2/28/2008
 Accident , LAX08CA035 ,12/6/2007," Fallbrook, CA ",33.3525,-117.250556, L18 , FALLBROOK COMMUNITY AIRPARK , Non-Fatal , Substantial , Airplane , N44528 , Piper , PA-28-180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , APPROACH ,6/17/2019
 Accident , LAX08CA034 ,12/6/2007," Soledad, CA ",36.374167,-121.414167,  ,  , Non-Fatal , Destroyed , Airplane , N6024M , Air Tractor , AT-401 ,1, Reciprocating , Part 137: Agricultural ,  , Aerial Application ,  ,,1,,, VMC , MANEUVERING ,1/31/2008
 Accident , NYC08FA053 ,12/5/2007," Augusta, GA ",33.481389,-82.040833,  ,  , Fatal(1) , Substantial , Airplane , N43274 , PIPER , PA-28R-200 ,1, Reciprocating , Part 91: General Aviation ,  , Business ,  ,1,,,, VMC , CRUISE ,6/17/2019
 Accident , CHI08FA045 ,12/5/2007," Columbus, OH ",39.788333,-82.940277, LCK , Rickenbacker International , Fatal(2) , Destroyed , Airplane , N28MG , CESSNA , 208B ,2, Turbo Prop , Part 135: Air Taxi & Commuter , NSCH ,  , Castle Aviation LLC ,2,,,, IMC , TAKEOFF ,8/17/2012
 Accident , NYC08FA051 ,12/4/2007," New Castle, DE ",39.675556,-75.612222, ILG , New Castle Airport , Fatal(1) , Destroyed , Airplane , N105PP , BEECH , 60 ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, VMC , TAXI ,9/10/2015
 Accident , SEA08LA041 ,12/2/2007," Coeur d'Alene, ID ",47.774167,-116.819445, COE , Coeur d'Alene Air Terminal , Non-Fatal , Substantial , Airplane , N551GF , CESSNA , 551 ,2, Turbo Fan , Part 91: General Aviation ,  , Personal ,  ,,,,8, VMC , LANDING ,3/24/2010
 Accident , NYC08LA049 ,12/1/2007," Gaithersburg, MD ",39.168334,-77.165, GAI , Montgomery County Airpark , Non-Fatal , Substantial , Airplane , N259ER , CESSNA , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,2,, VMC , GO-AROUND ,3/4/2010
 Accident , MIA08LA024 ,12/1/2007," Hendersonville, NC ",35.3075,-82.430556, 0A7 , Hendersonville Airport , Non-Fatal , Destroyed , Airplane , N874SR , Cirrus , SR22 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,6/20/2014
 Accident , DFW08CA044 ,11/30/2007," Madill, OK ",34.144444,-96.811389,  ,  , Non-Fatal , Substantial , Airplane , N6135M , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,1/31/2008
 Accident , SEA08CA049 ,11/29/2007," Death Valley, CA ",36.603889,-117.159167, L09 , Stovepipe Wells Airport , Non-Fatal , Substantial , Airplane , N8770M , Beech , A23 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,1/31/2008
 Accident , ANC08CA024 ,11/29/2007," Seward, AK ",60.085555,-174.296666,  ,  , Non-Fatal , Substantial , Airplane , N1181Y , Piper , PA-18-135 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , TAKEOFF ,2/28/2008
 Accident , MIA08FA021 ,11/28/2007," Fort Myers, FL ",26.526945,-81.783889, RSW , Southwest Florida Internationa , Fatal(1) , Substantial , Airplane , N201VX , Mooney , M20J ,1,  , Part 91: General Aviation ,  , Personal ,  ,1,0,0,0, IMC , APPROACH ,1/14/2009
 Accident , MIA08CA022 ,11/28/2007," Orlando, FL ",28.289722,-81.436944, KISM , Kissimmee Gateway , Non-Fatal , Substantial , Airplane , N148ND , Piper , PA-28-161 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,2/28/2008
 Accident , DFW08FA040 ,11/28/2007," Marlow, OK ",34.618889,-97.800278,  ,  , Fatal(2) , Substantial , Airplane , N6555D , CESSNA , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,0,0,0, VMC , MANEUVERING ,12/28/2008
 Accident , DFW08CA041 ,11/28/2007," Bridgeport, TX ",33.175278,-97.828334, 1F9 , BRIDGEPORT MUNI , Non-Fatal , Substantial , Airplane , N64197 , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,12/20/2007
 Accident , ANC08CA022 ,11/28/2007," Wasilla, AK ",61.571667,-149.540277, PAWS , Wasilla , Non-Fatal , Substantial , Airplane , N8965R , Aeronca , 7JC ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, IMC , LANDING ,1/31/2008
 Accident , DFW08FA038 ,11/27/2007," Tulsa, OK ",36.048611,-95.981111, KRVS , Richard Lloyd Jones airport , Fatal(2) , Destroyed , Airplane , N3NG , CESSNA , T210M ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,1,0,0, VMC , CLIMB ,12/28/2008
 Accident , NYC08FA046 ,11/26/2007," Owensboro, KY ",87.145833,-37.6825, OWB , Owensboro - Caviess County Apt , Fatal(1) , Substantial , Airplane , N3364G , CESSNA , 310R ,2, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,1,0,0,0, IMC , APPROACH ,11/10/2008
 Accident , NYC08CA047 ,11/26/2007," Venice, FL ",27.071389,-82.440277, VNC , Venice Municipal Airport , Non-Fatal , Substantial , Airplane , N461TC , Cessna , 152 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , GO-AROUND ,1/31/2008
 Accident , MIA08CA019 ,11/25/2007," Jacksonville, FL ",30.335,-81.508611,  ,  , Non-Fatal , Substantial , Airplane , N1055L , Lake , LA-4-200 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,, VMC , MANEUVERING ,2/28/2008
 Accident , CHI08FA039 ,11/25/2007," Faribault, MN ",44.318611,-93.301944, FBL , FARIBAULT MUNI , Fatal(4) , Destroyed , Airplane , N482SR , Cirrus Design Corp. , SR22 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,4,,,, VMC , GO-AROUND ,12/28/2008
 Accident , SEA08CA039 ,11/24/2007," Yelm, WA ",46.926945,-122.465556,  ,  , Non-Fatal , Substantial , Airplane , N3250B , Piper , PA-18A-135 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,12/20/2007
 Accident , LAX08CA031 ,11/24/2007," Mesa, AZ ",33.460833,-111.728334, FFZ , Falcon Field Airport , Non-Fatal , Substantial , Airplane , N4191D , Diamond Aircraft Industries , DA-20-C1 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,1/31/2008
 Accident , NYC08FA041 ,11/21/2007," New Windsor, NY ",41.491389,-74.168889, SWF , Stewart International , Fatal(1) , Substantial , Airplane , N108GD , CIRRUS DESIGN CORP , SR20 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,2,,, IMC , APPROACH ,6/11/2009
 Accident , NYC08CA042 ,11/21/2007," Hamilton, NJ ",39.485,-74.738333,  ,  , Non-Fatal , Substantial , Airplane , N172MG , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , CRUISE ,12/20/2007
 Accident , NYC08FA039 ,11/20/2007," Maine, NY ",42.228889,-75.978889, BGM , Greater Binghamton Airport , Fatal(1) , Destroyed , Airplane , N252DD , MOONEY , M20K ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,,,, IMC , TAKEOFF ,1/5/2010
 Accident , SEA08CA034 ,11/19/2007," Calexico, CA ",32.672223,-115.562222, NONE , Private Airstrip , Non-Fatal , Substantial , Airplane , N2237D , Ayres , S2R-G1 ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,,,,1, VMC , LANDING ,1/31/2008
 Accident , MIA08CA018 ,11/18/2007," McKinnon, TN ",36.316667,-87.916667, KM93 , Houston County , Non-Fatal , Substantial , Airplane , N5803A , Cessna , 172 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , LANDING ,12/20/2007
 Accident , ANC08CA020 ,11/18/2007," Nikolai, AK ",63.018611,-154.358611,  ,  , Non-Fatal , Substantial , Airplane , N170BP , Cessna , 170B ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,2/28/2008
 Accident , SEA08CA030 ,11/17/2007," Atwater, CA ",37.380556,-120.568056, MER , Castle Airport , Non-Fatal , Substantial , Airplane , N3318E , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,1,, VMC , LANDING ,1/31/2008
 Accident , NYC08CA037 ,11/17/2007," Statesboro, GA ",32.482778,-81.736944, TBR , Statesboro-Bulloch County , Non-Fatal , Substantial , Airplane , N6492E , Cessna , 172N ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,4/30/2008
 Accident , DFW08CA032 ,11/17/2007," Muskogee, OK ",35.653333,-95.356667, MKO , DAVIS FIELD , Non-Fatal , Substantial , Airplane , N45137 , Cessna , 150 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,2/28/2008
 Accident , NYC08CA040 ,11/16/2007," Murfreesboro, TN ",35.8775,-86.3775, MBT , Murfreesboro Municipal Airport , Non-Fatal , Substantial , Airplane , N4396T , Piper , PA-28-140 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,2/28/2008
 Accident , DFW08FA031 ,11/15/2007," Ranger, TX ",32.476945,-98.52,  ,  , Fatal(3) , Destroyed , Airplane , N55307 , PIPER , PA-28R-200 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,3,,,, VMC , CRUISE ,5/6/2009
 Accident , MIA08CA017 ,11/14/2007," Hyannis, MA ",41.668056,-70.274723, HYA , BARNSTABLE MUNI-BOARDMAN/POLAN , Non-Fatal , Substantial , Airplane , N9610W , Piper , PA-28-140 ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , APPROACH ,3/31/2008
 Accident , ANC08CA019 ,11/14/2007," Palmer, AK ",61.646111,-149.2925, 4AK6 , WOLF LAKE , Non-Fatal , Substantial , Airplane , N439MA , American Champion (ACAC) , 8GCBC ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,4/30/2008
 Accident , NYC08CA036 ,11/13/2007," Ocala, FL ",29.175,-82.224167, OCF , Ocala International , Non-Fatal , Substantial , Airplane , N120AB , Cessna , 120 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,1,, VMC , LANDING ,5/28/2008
 Accident , SEA08LA025 ,11/12/2007," Salt Lake City, UT ",40.788333,-111.9775, KSLC , Salt Lake City , Non-Fatal , Substantial , Airplane , N84859 , PIPER , PA-31-350 ,2, Reciprocating , Part 91: General Aviation ,  , Positioning ,  ,0,0,0,1, VMC , LANDING ,11/10/2008
 Accident , SEA08CA026 ,11/12/2007," Sedona, AZ ",34.848611,-111.788611, SEZ , Sedona Airport , Non-Fatal , Substantial , Airplane , N3656R , Piper , PA-28-180 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,4, VMC , TAKEOFF ,12/20/2007
