 Investigation Type , Accident Number , Event Date , Location , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Publication Date 
 Accident , DFW06CA042 ,12/25/2005," McKinney, TX ",33.240833,-96.558333, TS63 , Square Air Airport , Non-Fatal , Destroyed , Airplane , N131AK , CASA , 1.131E ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,7/25/2007
 Accident , SEA06CA032 ,12/24/2005," Emmett, ID ",43.848333,-116.545833,  ,  , Non-Fatal , Destroyed , Airplane , N5695V , Piper , PA-28-151 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, IMC , DESCENT ,5/30/2006
 Accident , MIA06CA040 ,12/24/2005," Palatka, FL ",29.658611,-81.688611, 28J , Kay Larkin Airport , Non-Fatal , Substantial , Airplane , N7657R , Beech , BE23 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , CRUISE ,3/28/2006
 Accident , MIA06CA034 ,12/23/2005," Haines City, FL ",28.131667,-81.660556, X07 , Lake Wales Municipal , Non-Fatal , Substantial , Airplane , N8304S , Cessna , 182 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , CRUISE ,3/28/2006
 Accident , DEN06CA025 ,12/23/2005," Los Lunas, NM ",34.759722,-106.745277, E98 , Mid Valley Airport , Non-Fatal , Minor , Airplane , N96924 , Taylorcraft , BC12-D ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,1,,1, VMC , LANDING ,4/25/2006
 Accident , CHI06CA056 ,12/23/2005," Platteville, WI ",42.689444,-90.444444,  ,  , Non-Fatal , Substantial , Airplane , N7592B , Champion , 7EC ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,1,, VMC , LANDING ,3/28/2006
 Accident , CHI06CA053 ,12/23/2005," Morris, IL ",41.425556,-88.418611,  ,  , Non-Fatal , Substantial , Airplane , N723PG , Cessna , 172R ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,3, VMC , LANDING ,3/28/2006
 Accident , CHI06CA049 ,12/21/2005," Spirit Lake, IA ",43.3875,-95.139166,  ,  , Non-Fatal , Substantial , Airplane , N4680Z , Piper , PA-22-108 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,4/25/2006
 Accident , CHI06CA048 ,12/21/2005," North Lima, OH ",40.961667,-80.677223,  ,  , Non-Fatal , Substantial , Airplane , N761WY , Cessna , T210M ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,2, VMC , LANDING ,6/28/2006
 Accident , ANC06CA013 ,12/21/2005," Skwentna, AK ",62.033333,-151.784444,  ,  , Non-Fatal , Substantial , Airplane , N237WT , Piper , PA-18 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , LANDING ,4/25/2006
 Accident , CHI06CA059 ,12/20/2005," Poplar Grove, IL ",42.322778,-88.836389,  ,  , Non-Fatal , Substantial , Airplane , N8723S , Cessna , 150F ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,3/28/2006
 Accident , CHI06CA046 ,12/20/2005," Algona, IA ",43.077778,-94.271945,  ,  , Non-Fatal , Substantial , Airplane , N9292U , Cessna , 150M ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,, IMC , TAKEOFF ,3/28/2006
 Accident , LAX06CA061 ,12/19/2005," Fallon, NV ",39.5,-119, NONE , Dixie Valley , Non-Fatal , Substantial , Airplane , N3199H , Beech , A36 ,1, Reciprocating , Part 135: Air Taxi & Commuter , NSCH ,  , FALLON AIRMOTIVE ,,,,3, VMC , TAKEOFF ,3/28/2006
 Accident , ANC06CA012 ,12/19/2005," Brevig Mission, AK ",65.316667,-166.45, KTS , Brevig Mission , Non-Fatal , Substantial , Airplane , N303GV , Cessna , 208 ,1, Turbo Prop , Part 135: Air Taxi & Commuter , SCHD ,  ," Hageland Aviation Services, Inc. ",,,,2, VMC , TAXI ,3/28/2006
 Accident , CHI06CA045 ,12/17/2005," Toronto, OH ",40.475834,-80.628056, 1G8 , Eddie Dew Memorial Airpark , Non-Fatal , Substantial , Airplane , N5031Z , Piper , PA-22-108 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,,1, VMC , TAKEOFF ,3/28/2006
 Accident , MIA06CA032 ,12/16/2005," Hialeah, FL ",25.948889,-80.423334, X46 , Opa-Locka West Airport , Non-Fatal , Substantial , Airplane , N51434 , Cessna , 172P ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , LANDING ,3/28/2006
 Accident , MIA06CA031 ,12/16/2005," Stuart, FL ",27.180834,-80.221111, KSUA , Witham Field , Non-Fatal , Substantial , Airplane , N41805 , Cessna , 210 ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,,,2,, VMC , APPROACH ,3/28/2006
 Accident , NYC06CA043 ,12/15/2005," State College, PA ",40.849166,-77.848611, UNV , University Park Airport , Non-Fatal , Substantial , Airplane , N62497 , Piper , PA-23-250 ,2, Reciprocating , Part 135: Air Taxi & Commuter , NSCH ,  ,  ,,,,1, VMC , TAKEOFF ,3/28/2006
 Accident , ATL06CA025 ,12/13/2005," Mobile, AL ",30.626667,-88.0675, KBFM , Mobile Downtown Airport , Non-Fatal , Substantial , Airplane , N348SP , Cessna , 172S ,1, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,1, VMC , LANDING ,3/28/2006
 Accident , ANC06CA011 ,12/13/2005," Newtok, AK ",60.939166,-164.641389,  ,  , Non-Fatal , Substantial , Airplane , N454SF , Cessna , 208B ,1, Turbo Prop , Part 135: Air Taxi & Commuter , SCHD ,  ,  ,,,,4, VMC , TAKEOFF ,3/28/2006
 Accident , MIA06CA029 ,12/12/2005," Daytona Beach, FL ",29.179723,-81.058056, KDAB , Daytona Beach International , Non-Fatal , Substantial , Airplane , N56825 , Piper , PA-34-200 ,2, Reciprocating , Part 91: General Aviation ,  , Instructional ,  ,,,,2, VMC , GO-AROUND ,3/28/2006
 Accident , SEA06CA027 ,12/11/2005," Snohomish, WA ",47.908056,-122.105278, S43 , Harvey Field , Non-Fatal , Substantial , Airplane , N2697X , Cessna , TP206A ,1, Reciprocating , Part 91: General Aviation ,  , Skydiving ,  ,,,1,, VMC , LANDING ,4/25/2006
