date,type,registration,operator,fat.,location,Column1,pic,cat
4/13/2002,GAF Nomad N.24A,OY-JRW,Nomad Fleet,0,Weston-on-th...,,,A1
4/16/2002,BAe BAe-748-400 Srs. 2B,ZS-OLE,Airquarius,0,Sun City-Pil...,,,A1
4/17/2002,Let L-410UVP-E9,5Y-UAS,United Airlines,0,Mara Ngerend...,,,A1
4/18/2002,Antonov An-2R,LZ-1147,Bulair,0,Kostandenetz,,,A1
4/21/2002,Antonov An-72-100,ES-NOP,"Enimex, op.for Trigana Air Service",0,Wamena Airpo...,,,A1
4/26/2002,Boeing 707-366C,9Q-CKB,Hewa Bora Airways,0,Kinshasa-N'D...,,,A1
4/30/2002,Antonov An-12,ST-AQP,Aerovista Airlines,0,Heglig,,,A1
5/2/2002,Cessna 560 Citation Ultra,N397QS,NetJets,0,"Leakey, TX",,,A1
5/20/2002,Cessna 550 Citation II,N13VP,Avalon Correctional Services,0,Oklahoma Cit...,,,A1
5/21/2002,Douglas DC-3A-197D,XB-JBR,Aero JBR,0,Lake Casa Bl...,,,A1
6/4/2002,Antonov An-2P,RA-07748,"Sibaviatrans, op.for Sibaviatrans",0,Lovozero Air...,,,A1
1/7/2003,Raytheon 390 Premier I,N390RB,Caribbean Aviation,0,Santo Doming...,,,A1
1/14/2003,BN-2A-26 Islander,HS-RON,Siam Air Sports,0,near Pattaya Airp...,,,A1
1/17/2003,Fokker 50,PH-FZE,"Denim Air, op.for Air Nostrum",0,Melilla Airp...,,,A1
1/17/2003,Fokker F-28 Fellowship 4000,HC-BMD,TAME Ecuador,0,Quito-Marisc...,,,A1
1/17/2003,BAe 3101 Jetstream 31,CP-2404,SAVE,0,Yacuiba Airp...,,,A1
1/19/2003,Airbus A319-114,N313NB,Northwest Airlines,0,New York-La ...,,,A1
1/24/2003,Cessna 208B Super Cargomaster,N944FE,"FedEx, op.for Baron Aviation",0,San Angelo-D...,,,A1
1/26/2003,Boeing 737-2M9,PP-SPJ,VASP,0,Rio Branco-P...,,,A1
2/13/2003,Cessna 208B Grand Caravan,N1116G,One Leasing,0,near El Para,,,A1
2/19/2003,Dornier 228-201,AP-BGF,STAR Aviation,0,Karachi-Quai...,,,A1
3/6/2003,ATR 42-300,I-ATRF,"Air Industria, op.for Minerva Airlines",0,Roma-Fiumici...,,,A1
3/8/2003,Fokker F-27 Friendship 500RF,N712FE,"FedEx, opb Mountain Air Cargo",0,Kinston Regi...,,,A1
3/12/2003,Grumman C-2A Greyhound,162153,US Navy,0,Cherry Point...,,,A1
3/15/2003,Antonov An-2R,LY-KAG,"Kaunas Aviation, op.for Anuschka Club International",0,St. Moritz-S...,,,A1
3/20/2003,Beech 200 Super King Air,XC-ADP,Mexican Government,0,Badiraguato ...,,,A1
3/21/2003,Airbus A321-131,B-22603,TransAsia Airways,0,Tainan Airpo...,,,A1
3/23/2003,Mitsubishi Mu-300 Diamond IA,PT-LNN,Chubb do Brasil Companhia de Seguros,0,Santos Air B...,,,A1
3/26/2003,Boeing 737-4B6,CN-RNF,RAM,0,Oujda-Les An...,,,A1
??-MAR-2003,Hawker Siddeley HS-780 Andover C.1,3C-KKB,748 Air Services,0,Rumbek,,,A1
4/7/2003,Cessna 500 Citation I/SP,EC-HFA,Ibiza Flights,0,Zürich-Klote...,,,A1
4/8/2003,Dassault Falcon 20C,N179GA,Grand Aire Express,0,near Saint Louis-...,,,A1
4/9/2003,Shorts 330-200,N805SW,SkyWay Enterprises,0,Dubois-Jeffe...,,,A1
4/9/2003,Yakovlev Yak-40,UK-87367,Uzbekistan Airways,0,Urgench Airp...,,,A1
4/10/2003,Antonov An-2R,SP-WPZ,ZUA,0,Qum,,,A1
4/11/2003,Antonov An-12BP,RA-12981,Zapolyarye Airlines,0,Sredny Island,,,A1
4/15/2003,Swearingen SA226-TC Metro II,N229AM,Superior Aviation,0,Denver Inter...,,,A1
4/15/2003,Vickers 836 Viscount,9Q-CGL,Trans Intair,0,,,,A1
4/17/2003,Fokker F-27 Friendship 600,N730FE,"FedEx, opb Empire Airlines",0,Seattle/Taco...,,,A1
4/23/2003,Beech 99A,C-FDYF,Transwest Air,0,near Prince Alber...,,,A1
4/28/2003,DHC-6 Twin Otter 300,PK-WAR,Air Regional,0,near Mulia,,,A1
4/28/2003,Yakovlev Yak-40,UR-87918,Dniproavia,0,Dnepropetrov...,,,A1
4/29/2003,Beech 1900C-1,TR-LFQ,Avirex,0,Kinshasa-N'D...,,,A1
4/30/2003,Basler Turbo 67 (DC-3T),PNC-0212,Colombian Police,0,Ocaña-Aguas ...,,,A1
5/11/2003,Antonov An-12B,ER-AXD,Pecotox Air,0,Asmara Inter...,,,A1
5/15/2003,Cessna 208B Super Cargomaster,N208AD,DK&L Comp.,0,near Lorain Count...,,,A1
5/15/2003,Beech 200C Super King Air,VH-AMR,Royal Flying Doctor Service,0,near Coffs Harbou...,,,A1
5/16/2003,Antonov An-3T,RA-05881,Polyarnye Avialinii,0,near Sangara,,,A1
5/18/2003,Beech 300 Super King Air 350,N2SM,Oso-Rio,0,Houston-West...,,,A1
1/1/2004,Beech A100 King Air,C-GFKS,Thunder Airlines,0,Terrace Bay ...,,,A1
1/19/2004,DHC-6 Twin Otter 300,PK-WAX,Air Regional,0,Mulia Airpor...,,,A1
1/21/2004,Dassault Falcon 20C,N200JE,Jet Express,0,Pueblo Memor...,,,A1
1/27/2004,Ilyushin Il-18D,ER-ICJ,Renan,0,Luena Airpor...,,,A1
1/31/2004,Swearingen SA226-TC Metro II,EC-HCU,Medit Air,0,Reus Airport...,,,A1
2/4/2004,Ilyushin Il-18D,EX-005,"Phoenix Air, op.for Expo Aviation",0,Colombo-Band...,,,A1
2/8/2004,Cessna 208 Caravan I,VH-CYC,Cape York Airlines,0,near Green Island...,,,A1
2/12/2004,BAe 3109 Jetstream 31,OY-MUE,Sun-Air,0,Aarhus-Tirst...,,,A1
2/20/2004,Learjet 25B,N24RZ,Skylinks Jets,0,Fort Lauderd...,,,A1
3/1/2004,Airbus A300B4-203,AP-BBA,PIA,0,Jeddah-King ...,,,A1
3/5/2004,Dornier Do 28D-2 Skyservant,HC-CBK,Aeropacifico,0,near Guayaquil-Si...,,,A1
3/6/2004,Ilyushin Il-18D,CU-T1532,Aerocaribbean,0,Holguín-Fran...,,,A1
3/17/2004,Cessna 208B Grand Caravan,5H-MUA,Regional Air Services,0,near Mto wa Mbu,,,A1
3/19/2004,Learjet 35A,N800AW,AirNet Systems,0,Utica-Oneida...,,,A1
3/20/2004,Cessna 208B Grand Caravan,V3-HGB,Tropic Air,0,near Punta Gorda,,,A1
4/1/2004,Beech 1900D,N149CJ,"US Airways Express, opb Colgan Air",0,Hartford-Bra...,,,A1
4/2/2004,Boeing 707-366C,SU-AVZ,Air Memphis,0,Cairo Intern...,,,A1
4/3/2004,Convair CV-580,3D-ZOE,private,0,Shabunda,,,A1
4/4/2004,Antonov An-32B,EP-837,Peruvian Army,0,Puerto Esper...,,,A1
4/7/2004,Raytheon 390 Premier I,N200PR,Unknown,0,Blackbushe A...,,,A1
4/14/2004,Beech 300 Super King Air,N301KS,Mass Bay Kustom Leasing,0,Daytona Beac...,,,A1
4/16/2004,Beech B200 King Air,F-OHJL,Air Archipels,0,Papeete-Faaa...,,,A1
4/19/2004,Beech A100 King Air,C-FMAI,Myrand Aviation,0,Chibougamau/...,,,A1
4/20/2004,DC-9-82 (MD-82),I-DAWR,Alitalia,0,Trieste-Dei ...,,,A1
4/27/2004,Fokker F-27 Friendship 500,N715FE,"FedEx, opb Mountain Air Cargo",0,Melo Airport...,,,A1
4/28/2004,DC-10-30F,N189AX,Centurion Air Cargo,0,Bogotá-Eldor...,,,A1
5/6/2004,Transall C-160R,R-100/61-ZR,French AF,0,Fort de Fran...,,,A1
5/8/2004,Douglas C-54P (DC-4),N44911,Brooks Air Fuel,0,"Ganes Creek, AK",,,A1
5/9/2004,ATR 72-212,N438AT,"American Eagle Airlines, opb Executive Airlines",0,San Juan-Lui...,,,A1
5/27/2004,Raytheon 390 Premier I,N5010X,Raytheon,0,Las Vegas-No...,,,A1
6/1/2004,Antonov An-32,9XR-SN,Sun Air,0,Kigali Inter...,,,A1
