date,type,registration,operator,fat.,location,Column1,pic,cat
3/19/2008,Dornier 328-110,D-CTOB,Cirrus Airlines,0,Mannheim Air...,,,A1
3/19/2008,Raytheon 390 Premier I,VT-RAL,Ran Air,0,Udaipur-Dabo...,,,A1
3/25/2008,Boeing 747-357,TF-ARS,"Air Atlanta Icelandic, op.for Saudi Arabian",0,Dhaka-Zia In...,,,A1
4/4/2008,DHC-6 Twin Otter 200,T-84,Argentine AF,0,near Comodoro Riv...,,,A1
4/5/2008,DHC-6 Twin Otter 300,C-FIZD,Provincial Airlines,0,"near Nain, NL",,,A1
4/11/2008,Dornier Do 28D-2 Skyservant,YV259T,private,0,near Tumeremo,,,A1
4/20/2008,Ilyushin Il-62M,CU-T1283,Cubana,0,Santo Doming...,,,A1
4/21/2008,Embraer EMB-110P1 Bandeirante,PT-OCV,Rico Linhas Aéreas,0,Coari Airpor...,,,A1
4/21/2008,Ilyushin Il-76M,RA-86833,Russian AF,0,Rogachevo Ai...,,,A1
4/22/2008,BAe-146-200,YR-BEB,"Romavia, op.for Carpatair",0,Bucharest-Ot...,,,A1
4/28/2008,Cessna 208B Grand Caravan,5Y-SPK,AIM Air,0,Doro Airstrip,,,A1
5/9/2008,Cessna 208B Super Cargomaster,N893FE,"FedEx, opb CSA Air",0,"Ada, MI",,,A1
5/21/2008,Beech T-1A Jayhawk,93-0633,USAF,0,near Lubbock Pres...,,,A1
5/25/2008,Boeing 747-209F,N704CK,Kalitta Air,0,Brussel-Zave...,,,A1
5/26/2008,Antonov An-32B,9Q-CMG,GLBC,0,Goma Airport...,,,A1
6/8/2008,DHC-6 Twin Otter 300,5A-DAU,Waha Oil Company,0,Sidra Airstrip,,,A1
1/2/2009,Antonov An-12BP,S9-SAM,British Gulf International Airlines,0,Sharjah Airp...,,,A1
1/3/2009,Learjet 45XR,N279AJ,Aero Jet Services,0,Telluride Re...,,,A1
1/4/2009,Cessna 550 Citation II,N815MA,"JODA, op.for Caribair",0,Wilmington-N...,,,A1
1/9/2009,Cessna 208 Caravan I,EP-858,Peruvian Army,0,near Intuto,,,A1
1/11/2009,Xian MA60,RP-C8893,Zest Airways,0,Caticlan-Mal...,,,A1
1/13/2009,Antonov An-24RV,S9-KAS,Daallo Airlines,0,Bosaso-Bende...,,,A1
1/15/2009,Airbus A320-214,N106US,US Airways,0,"near Weehawken, N...",,,A1
1/16/2009,IAI 1126 Galaxy,YR-TIG,Ion Tiriac Air,0,Oradea Airpo...,,,A1
1/16/2009,Beech 100 King Air,C-GNAA,SkyNorth Air,0,"Island Lake,...",,,A1
1/19/2009,Fokker 100,EP-CFN,"Chabahar Airlines, op.for Iran Air",0,Tehran-Mehra...,,,A1
1/27/2009,ATR 42-320,N902FX,"FedEx, op.for Empire Airlines",0,Lubbock Pres...,,,A1
2/4/2009,AMI DC-3-65TP,N834TP,National Test Pilot School,0,Mojave-Kern ...,,,A1
2/4/2009,DHC-6 Twin Otter 100,C-FCCE,Transwest Air,0,La Ronge Air...,,,A1
2/11/2009,Cessna 208B Grand Caravan,5Y-BUQ,Airworks,0,Boma Airstrip,,,A1
2/11/2009,Antonov An-2,10 yellow,Russian AF,0,near Pskov Airpor...,,,A1
2/11/2009,Beech 200 Super King Air,TC-AUY,Anadolu University Civil Aviation School,0,Eskisehir-An...,,,A1
2/12/2009,BAe 3102 Jetstream 31,SX-SKY,Sky Express,0,Heraklion-N....,,,A1
2/13/2009,Avro RJ100,G-BXAR,BA CityFlyer,0,London City ...,,,A1
2/15/2009,Cessna 208B Grand Caravan,YV1950,Rutaca,0,Guasdualito-...,,,A1
2/22/2009,Antonov An-2SX,EX-68039,Golden Rule Airlines,0,near Bishkek Dist...,,,A1
2/24/2009,Lockheed C-130H Hercules,SU-BAC/1272,Egyptian AF,0,unknown,,,A1
3/9/2009,MD-90-30,PK-LIL,Lion Air,0,Jakarta-Soek...,,,A1
3/13/2009,Boeing E-8C (707),93-0597,USAF,0,near Qatar,,,A1
3/26/2009,Tupolev Tu-134AK,RA-65981,Russian AF,0,Dolinsk-Soko...,,,A1
4/22/2009,Rockwell Sabreliner 60,N103TA,private,0,Banjul-Yundu...,,,A1
4/26/2009,Douglas DC-3C,N136FS,Four Star Air Cargo,0,San Juan-Lui...,,,A1
4/27/2009,Boeing 737-2K9,XA-MAF,Magnicharters,0,Guadalajara-...,,,A1
5/4/2009,Antonov An-2,,South Korea AF,0,near Seongmu Air ...,,,A1
5/6/2009,DC-10-30ER,N139WA,World Airways,0,Baltimore/Wa...,,,A1
5/8/2009,Tupolev Tu-154M,EP-MCR,Iran Airtour,0,near Mashhad Airp...,,,A1
5/8/2009,MD-90-30,HZ-APW,Saudi Arabian,0,Riyadh-King ...,,,A1
5/11/2009,Lockheed C-130B Hercules,A-1302,Indonesian AF,0,Wamena Airpo...,,,A1
5/18/2009,Antonov An-24T,EK-46839,"Air Atlantic Congo, lsf Phoenix Avia",0,Dire Dawa-Ab...,,,A1
5/28/2009,DHC-5D Buffalo,AEE-501,Ecuador Army,0,Quevedo Airport,,,A1
6/2/2009,DHC-6 Twin Otter 200,8Q-MAG,"Maldivian Air Taxi, lsf Kenn Borek Air",0,Halaveli Res...,,,A1
6/3/2009,Boeing 737-59D,VP-BXM,Aeroflot-Nord,0,Simferopol A...,,,A1
6/6/2009,Fokker F-28 Fellowship 4000,XY-ADW,Myanma Airways,0,Sittwe-Civil...,,,A1
6/9/2009,Antonov An-2R,EX-156,Valor Air,0,Kadamdzhaysk...,,,A1
6/13/2009,Antonov An-2R,RF-00428,ROSTO Primorsk-Ahtarska,0,near Primorsko-Ah...,,,A1
6/18/2009,Learjet 40,N998AL,Alex Lyon & Sons,0,Fort Worth-M...,,,A1
1/2/2010,Boeing 727-231F Super 27,9Q-CAA,CAA,0,Kinshasa-N'D...,,,A1
1/4/2010,Antonov An-12BK,ST-AQQ,El Magal Aviation,0,Heglig Airport,,,A1
1/13/2010,DHC-8-102,5Y-EMD,"CMC Aviation, op.for ECHO Flight",0,Moba Airport...,,,A1
1/14/2010,Cessna 208B Grand Caravan,VH-NTQ,Broome Aviation,0,Beagle Bay A...,,,A1
1/19/2010,Beech B200 Super King Air,N586BC,Blue Cross and Blue Shield of Iowa,0,Sioux Gatewa...,,,A1
1/24/2010,Tupolev Tu-154M,RA-85787,"Kolavia, op.for Taban Air",0,Mashhad Airp...,,,A1
1/25/2010,Lockheed C-130B Hercules,404,South African AF,0,Waterkloof A...,,,A1
1/31/2010,Yakovlev Yak-40,D2-FES,Guicango,0,Luanda-4 de ...,,,A1
2/11/2010,ATR 42-300,PK-YRP,Trigana Air Service,0,near Balikpapan-S...,,,A1
2/11/2010,Fokker 100,XA-SHJ,MexicanaClick,0,Monterrey-Ge...,,,A1
3/1/2010,Airbus A300B4-203F,TC-ACB,ACT Airlines,0,Bagram Air B...,,,A1
3/1/2010,Boeing 737-247,5H-MVZ,Air Tanzania,0,Mwanza Airpo...,,,A1
3/4/2010,Fokker F-27 Friendship 300M,5Y-BRN,Safe Air Company,0,Bossaso Airp...,,,A1
3/7/2010,Learjet 35A,PT-LJK,Líder Táxi Aéreo,0,Manaus-Eduar...,,,A1
3/15/2010,BN-2A-21 Islander,N663SA,Servant Air,0,Kodiak Airpo...,,,A1
3/18/2010,Antonov An-26B,SP-FDO,"EXIN, op.for DHL Airways",0,near Tallinn-Ülem...,,,A1
3/21/2010,Learjet 35A,N376HA,Bluegrass Aviation Partners,0,Jeffersonvil...,,,A1
3/22/2010,Tupolev Tu-204-100,RA-64011,Aviastar-TU,0,near Moskva-Domod...,,,A1
3/30/2010,Antonov An-74,RA-74017,Polartrans,0,Ivanovo-Seve...,,,A1
4/1/2010,Learjet 25XR,XA-UNC,Aero Ermes,0,Huatulco-Bah...,,,A1
4/13/2010,Boeing 737-322,PK-MDE,Merpati Nusantara,0,Manokwari-Re...,,,A1
4/15/2010,Antonov An-2,RF-00259,private,0,near Saransk,,,A1
4/26/2010,Beech B200 King Air,F-OIAN,Air Alizé,0,Nadi Interna...,,,A1
4/27/2010,Beech 200 Super King Air,F-GLIF,Trans Hélicoptère Service,0,Arlit Airpor...,,,A1
5/4/2010,Antonov An-2,,Proskurov Avia,0,"near Marianivka, ...",,,A1
5/5/2010,Embraer EMB-145LR (ERJ-145LR),HK-4536,SATENA,0,Mitú-Fabio A...,,,A1
5/6/2010,Antonov An-2R,RA-40373,IE Batak SG,0,near Goryachy Klyuch,,,A1
5/6/2010,Lockheed Hercules C.3A (C-130K),XV304,RAF,0,Brize Norton...,,,A1
5/10/2010,DHC-6 Twin Otter 300,C-FSJB,Kenn Borek Air,0,"near Alert, Elles...",,,A1
5/12/2010,Antonov An-2,,ROSTO Astrakhan,0,near Osypnoi Bugo...,,,A1
5/19/2010,Embraer EMB-110P Bandeirante,PT-GKQ,Táxi Aéreo Weiss,0,near Cascavel Air...,,,A1
6/4/2010,Lockheed L-100-30 Hercules,S9-BAT,"National Airlines (National Air Cargo), opb Transafrik",0,Sharana Air ...,,,A1
6/13/2010,Swearingen SA226-TC Metro II,ZS-ZOC,West Cape Ferries,0,Lanseria Air...,,,A1
6/15/2010,Cessna 550B Citation Bravo,YU-BSG,Prince Aviation,0,Brac Airport...,,,A1
6/18/2010,Dassault Falcon 20F,FAP-300,Peruvian AF,0,near Chiclayo-Cap...,,,A1
6/19/2010,Douglas DC-3C,D-CXXX,Air Service Berlin,0,Berlin-Schön...,,,A1
6/21/2010,DC-9-82 (MD-82),9Q-COQ,Hewa Bora Airways,0,Kinshasa-N'D...,,,A1
1/6/2011,Learjet 35A,N800GP,Priester Aviation,0,Springfield-...,,,A1
1/7/2011,Beech B200 Super King Air,F-GMPO,GCE Bail SA,0,"Montpellier,...",,,A1
1/10/2011,Boeing 737-2T5,ZS-SGX,Safair,0,Hoedspruit A...,,,A1
1/17/2011,Convair CV-340-71,N8277Q,Tiger Contract Cargo,0,Saint Thomas...,,,A1
1/27/2011,Fokker F-27 Friendship 500CRF,5X-FFD,Fly540,0,Nairobi-Wils...,,,A1
1/30/2011,Gulfstream G-IV,N127DK,Prime Aviation,0,Papeete-Faaa...,,,A1
2/16/2011,Boeing 747-368,HZ-AIS,Saudi Arabian,0,Madinah-Moha...,,,A1
2/21/2011,ATR 72-212,PR-TTI,TRIP Linhas Aéreas,0,Altamira Air...,,,A1
3/2/2011,Swearingen SA227-AC Metro III,OY-NPB,"North Flying, op.for Air Norway",0,Oslo-Garderm...,,,A1
3/4/2011,DHC-8-106,TF-JMB,Flugfélag Íslands - Air Iceland,0,Nuuk Airport...,,,A1
3/5/2011,Beech 200 Super King Air,YV196T,Wyngs Aviation,0,Union Island...,,,A1
3/11/2011,Cessna 208B Grand Caravan,PK-MAD,MAF,0,Mulia Airpor...,,,A1
3/20/2011,Convair CV-580F,C-GNRL,Nolinor Aviation,0,Seattle-Boei...,,,A1
3/23/2011,Dassault Falcon 100,N303FZ,Aviation Transport Solutions,0,Jeffersonvil...,,,A1
4/9/2011,Rockwell Sabreliner 60,N71CC,Sabre 60 Jet,0,Fort Lauderd...,,,A1
4/11/2011,Antonov An-2TP,N122AN,Vertol Systems Company,0,"near Loxley, AL",,,A1
4/16/2011,Yakovlev Yak-40K,RA-88241,Petropavlovsk-Kamchatsky Air Ent.,0,Ust-Kamchats...,,,A1
4/28/2011,Embraer EMB-145EP (ERJ-145EP),UR-DNK,Dniproavia,0,Moskva-Shere...,,,A1
5/5/2011,BAe-125-700A,N829SE,JODA,0,Loreto Airpo...,,,A1
5/16/2011,Beech B200 Super King Air,N786SR,North Slope Borough,0,"near Atqasuk, AK",,,A1
5/17/2011,Antonov An-2R,RA-68122,private,0,Sofiyivka Ip...,,,A1
5/18/2011,Boeing 707-321B,N707AR,Omega Air Refueling,0,Port Hueneme...,,,A1
5/23/2011,Cessna 208B Grand Caravan,PT-OSG,MEGA Linhas Aéreas,0,Barra do Ven...,,,A1
5/25/2011,Embraer Phenom 100,N224MD,JetSuite,0,Sedona Airpo...,,,A1
6/1/2011,Eclipse 500,N168TT,private,0,Nome Airport...,,,A1
6/6/2011,Antonov An-26,TR-LII,"DHL Aviation, opb Solenta Aviation",0,near Libreville A...,,,A1
6/12/2011,Douglas DC-6BF,N600UA,Universal Airlines,0,Cold Bay Air...,,,A1
6/15/2011,Beech A100 King Air,N15L,Dynamic Avlease,0,"near Gray, TN",,,A1
6/17/2011,Dassault Falcon 10,C-GRIS,Skycharter,0,Toronto-Butt...,,,A1
7/11/2011,DHC-6 Twin Otter 310,8Q-TMD,Trans Maldivian Airways,0,Biyaadhoo Tr...,,,A1
1/12/2012,Let L-410UVP-E9,5Y-BSA,Blue Sky Aviation,0,Kichwa Tembo...,,,A1
1/24/2012,DC-9-83 (MD-83),EC-JJS,"Swiftair, op.for Gryphon Airlines",0,Kandahar Air...,,,A1
2/5/2012,Airbus A320-211,JA8384,All Nippon,0,Sendai Airpo...,,,A1
2/13/2012,Learjet 55,N75LJ,Jet ICU Air Ambulance Service,0,Brooksville-...,,,A1
2/13/2012,Saab 2000,YR-SBK,Carpatair,0,Craiova Airp...,,,A1
2/17/2012,Let L-410UVP,RF-01152,DOSAAF,0,Tanay Airfie...,,,A1
2/17/2012,ATR 72-212A (ATR 72-500),XY-AIT,Air KBZ,0,Thandwe Airp...,,,A1
2/21/2012,Lockheed CC-130H(T) Hercules,130342,RCAF,0,Key West NAS...,,,A1
3/9/2012,DHC-6 Twin Otter 300,FAP-317,Peruvian AF,0,Laguna Cabal...,,,A1
3/9/2012,Beech 100 King Air,N70JL,Southern Air Charter,0,Deadman's Ca...,,,A1
3/22/2012,Antonov An-2,FLA-1041K,private,0,near Byelaya Kali...,,,A1
3/22/2012,Douglas C-54G (DC-4),N406WA,Jet One Express,0,San Juan-Lui...,,,A1
3/29/2012,Fokker 50,ST-NEX,Feeder Airlines,0,Wau Airport ...,,,A1
4/2/2012,Hawker Siddeley HS-748,5Y-BZR,Timbis Air Services,0,Doro Airstrip,,,A1
4/9/2012,DHC-8-311Q Dash 8,5H-MWG,Air Tanzania,0,Kigoma Airpo...,,,A1
4/15/2012,Fokker F-27 Friendship 500,5Y-SRJ,Sky Relief Services,0,Yida Airstrip,,,A1
4/23/2012,Antonov An-2R,YR-BOR,Aerogetic,0,Dârvari,,,A1
4/27/2012,Boeing 727-212,XB-MNP,Unknown,0,Laguna Salada,,,A1
4/28/2012,Antonov An-24RV,3X-GEB,Jubba Airways,0,Galkayo Airp...,,,A1
4/30/2012,ATR 72-212A (ATR 72-500),L16-2/52,Thai AF,0,Dhaka-Shahja...,,,A1
5/2/2012,Cessna 208B Grand Caravan,5Y-NGO,"Airworks, op.for UN WFP",0,Yambio Airport,,,A1
5/17/2012,Shorts 360-100,N617FB,Air Cargo Carriers,0,Houston-Geor...,,,A1
5/23/2012,Antonov An-30B,04 Black,Russian AF,0,Cáslav Air Base,,,A1
6/1/2012,Boeing 737-4Y0,PK-CJV,Sriwijaya Air,0,Pontianak-Su...,,,A1
6/3/2012,Lockheed SP-2H Neptune,N355MA,Minden Air Corporation,0,Minden-Tahoe...,,,A1
6/7/2012,Learjet 60,N500SW,Performance Aircraft Leasing,0,Aspen-Pitkin...,,,A1
6/16/2012,ATR 42-320,G-DRFC,Blue Islands,0,Jersey-State...,,,A1
6/18/2012,Beech Beechjet 400A,N826JH,N79TE,0,Atlanta-DeKa...,,,A1
6/20/2012,Grumman G-159 Gulfstream I,9Q-CIT,ITAB,0,Pweto Airpor...,,,A1
6/27/2012,Ilyushin Il-76MD,RA-76761,Russian AF,0,Tver-Migalov...,,,A1
7/19/2012,Antonov An-2R,RA-40934,Dalnevostochnaya,0,"Elban, Amur ...",,,A1
7/28/2012,Beech B200 Super King Air,OO-LET,ASL - Air Service Liege,0,Cambridge Ai...,,,A1
1/2/2013,Saab 340A,LV-BMD,SOL Líneas Aéreas,0,Mendoza-El P...,,,A1
1/17/2013,CASA C-212 Aviocar 300,8020,South African AF,0,Bloemspruit ...,,,A1
1/25/2013,BN-2B-26 Islander,ZK-DLA,Fly My Sky,0,Okiwi Statio...,,,A1
2/2/2013,ATR 72-212A (ATR 72-500),YR-ATS,"Alitalia, opb Carpatair",0,Roma-Fiumici...,,,A1
2/6/2013,Airbus A320-211,TS-IMB,Tunis Air,0,Tunis-Cartha...,,,A1
2/7/2013,Antonov An-2R,UR-54853,Poltava-Aero,0,"Knyazhin, Zh...",,,A1
2/11/2013,Boeing 737-33A,AP-BEH,PIA,0,Muscat-Seeb ...,,,A1
2/15/2013,Embraer Phenom 100,OO-MAS,Abelag Aviation,0,Berlin-Schön...,,,A1
2/28/2013,Let L-410UVP-E9,LZ-CCJ,"Heli Air Services, op.for UN",0,Wau Airport ...,,,A1
3/2/2013,Antonov An-2T,RF-01024,DOSAAF,0,near Rybinsk Airp...,,,A1
3/22/2013,Grumman G-159 Gulfstream I,9Q-CTC,Malu Aviation,0,Djolu Airport,,,A1
4/10/2013,Antonov An-26,EK26407,Unknown,0,Doro Airstrip,,,A1
4/13/2013,Boeing 737-8GP (WL),PK-LKS,Lion Air,0,Denpasar-Ngu...,,,A1
4/16/2013,Boeing 767-283ER,XA-TOJ,Aeroméxico,0,Madrid-Baraj...,,,A1
5/10/2013,Antonov An-2R,YR-LRA,Aero Scoroget,0,Strehaia,,,A1
5/13/2013,Learjet 35A,N22MS,Evergreen International Aviation,0,McMinnville ...,,,A1
5/16/2013,Harbin Yunshuji Y-12 II,B-3801,China Flying Dragon,0,near Shenyang-Tao...,,,A1
5/16/2013,DHC-6 Twin Otter 300,9N-ABO,Nepal Airlines,0,Jomsom Airpo...,,,A1
5/18/2013,Cessna 500 Citation I,PT-LPZ,BFB Leasing,0,São Paulo-Ca...,,,A1
5/19/2013,Lockheed C-130J-30 Super Hercules,Apr-44,USAF,0,Forward Oper...,,,A1
5/31/2013,BAe ATP-F,PK-DGI,Deraya Air Taxi,0,Wamena Airpo...,,,A1
6/10/2013,Xian MA60,PK-MZO,Merpati Nusantara,0,Kupang-El Ta...,,,A1
6/10/2013,Beech 100 King Air,C-GJSU,Aviation Flycie,0,near Saint-Mathie...,,,A1
6/11/2013,Beech A100 King Air,C-FDOY,Wabusk Air,0,Kapuskasing ...,,,A1
6/13/2013,Saab 340B,C6-SBJ,SkyBahamas Airlines,0,Marsh Harbou...,,,A1
6/18/2013,IAI 1124 Westwind,N112EM,E. Micah Aviation,0,Cincinnati M...,,,A1
6/19/2013,Antonov An-2R,HA-MDP,Gergely Air,0,near Fertöszentmi...,,,A1
6/25/2013,Beech 200 Super King Air,N92JR,Tennair,0,near Chicago-Exec...,,,A1
6/28/2013,Antonov An-2,RF-00408,DOSAAF,0,near Nekrasovka,,,A1
7/3/2013,Canadair CL-415,C-FIZU,Gov. of Newfoundland and Labrador,0,Moosehead La...,,,A1
1/5/2014,Airbus A320-231,VT-ESH,Air India,0,Jaipur Inter...,,,A1
1/8/2014,Saab 340A,C-FPAI,Provincial Airlines,0,Stephenville...,,,A1
1/18/2014,DC-9-33RC,XA-UQM,Aeronaves TSM,0,Saltillo-Pla...,,,A1
1/20/2014,Antonov An-28,UP-A2805,Unknown,0,near Addis Ababa-...,,,A1
1/22/2014,Antonov An-24RV,RA-46473,Pskovavia,0,Moskva-Domod...,,,A1
1/26/2014,Boeing 737-3B7 (SF),ZK-TLC,"Airwork NZ, op.for Pacific Air Express",0,Honiara-Hend...,,,A1
1/28/2014,Saab 2000,HB-IZG,"Darwin Airline, op.for Etihad Regional",0,Paris-Charle...,,,A1
1/29/2014,DHC-8-202Q Dash 8,OY-GRI,Air Greenland,0,Ilulissat Ai...,,,A1
2/3/2014,Cessna 525 CitationJet,N61YP,Brink Constructors,0,Elk City-Reg...,,,A1
2/12/2014,BAe-125-700B,RA-02801,Sirius-Aero,0,Moskva-Vnuko...,,,A1
2/15/2014,Cessna 501 Citation I/SP,C-GKPC,Kelly Panteluk Construction,0,Stella Maris...,,,A1
3/9/2014,ATR 42-300,C-FJYV,Calm Air International,0,Churchill Ai...,,,A1
3/26/2014,ATR 72-212A (ATR 72-600),9M-LMH,Malindo Airways,0,near Kuala Lumpur...,,,A1
3/27/2014,Beech B200 King Air,VT-HRA,State of Haryana Government,0,Chandigarh A...,,,A1
3/28/2014,Fokker 100,PR-OAF,Avianca Brasil,0,Brasília-Jus...,,,A1
4/14/2014,Airbus A320-232,XY-AGT,Golden Myanmar Airlines,0,Yangon-Minga...,,,A1
4/20/2014,Fokker 50,5Y-VVJ,Blue Bird Aviation,0,Guri'el Airs...,,,A1
4/29/2014,Boeing 737-476 (SF),EI-STD,Air Contractors,0,East Midland...,,,A1
5/8/2014,Boeing 737-4Y0,YA-PIB,Ariana Afghan Airlines,0,Kabul Airpor...,,,A1
5/9/2014,Antonov An-2T,RF-00446,"DOSAAF, op.for Lipetsk Aero Club",0,"Terbuny, Lip...",,,A1
5/10/2014,Fokker 100,EP-ASZ,Iran Aseman Airlines,0,Zahedan Airp...,,,A1
5/10/2014,Fokker 100,5N-SIK,IRS Airlines,0,Ganla,,,A1
5/27/2014,Antonov An-74T-200,15-2254,Iranian Revolutionary Guard,0,Yazd Airport...,,,A1
6/2/2014,Beech B200 King Air,PNC-0225,Colombian Police,0,near Bahía Solano...,,,A1
6/8/2014,Antonov An-2T,SP-FDZ,Aeroklub Warminsko-Mazurski,0,near Olsztyn/Dajt...,,,A1
6/13/2014,Cessna 525 CitationJet CJ1,PP-PIM,Planalto Indústria Mecânica,0,Aruanã Airpo...,,,A1
1/2/2015,Saab 340B,G-LGNL,"Loganair, op.for Flybe",0,Stornoway Ai...,,,A1
1/3/2015,Antonov An-26B-100,RA-26082,KAPO Avia,0,Magadan-Soko...,,,A1
1/4/2015,Fokker 50,5Y-SIB,Skyward International Aviation,0,Nairobi-Jomo...,,,A1
1/10/2015,Boeing 737-43Q (SF),ET-AQV,"Ethiopian Airlines, op.for ASKY Airlines",0,Accra-Kotoka...,,,A1
1/16/2015,BN-2A-8 Islander,YV2238,Chapi Air,0,Los Roques A...,,,A1
1/17/2015,Bombardier Global 5000,RP-C9363,Challenger Aero Corporation Metro Manila,0,Tacloban Air...,,,A1
2/2/2015,BAe 4100 Jetstream 41,SX-DIA,Sky Express,0,Rhodes/Parad...,,,A1
2/14/2015,Antonov An-32B,T-256,Angolan AF,0,Malange Airp...,,,A1
2/14/2015,Antonov An-26B-100,FA312,Mozambique AF,0,near Quelimane Ai...,,,A1
3/1/2015,Canadair Challenger 601-3A,N600NP,Six Hundred NP,0,Marco Island...,,,A1
3/4/2015,Airbus A330-303,TC-JOC,THY,0,Kathmandu-Tr...,,,A1
3/4/2015,BAe ATP-F (LFD),PK-DGB,Deraya Air Taxi,0,Wamena Airpo...,,,A1
3/5/2015,MD-88,N909DL,Delta Air Lines,0,New York-La ...,,,A1
3/5/2015,Let L-410UVP-E20,E7-WDT,Icar Air,0,Ancona-Falco...,,,A1
3/8/2015,DHC-8-402Q Dash 8,VT-SUA,SpiceJet,0,Hubli Airpor...,,,A1
3/12/2015,Raytheon 390 Premier I,G-OOMC,Pool Aviation,0,Blackpool Ai...,,,A1
3/24/2015,Cessna 208B Supervan 900,N106BZ,private,0,"Verdigris, OK",,,A1
3/29/2015,Airbus A320-211,C-FTJP,Air Canada,0,Halifax-Stan...,,,A1
4/3/2015,Antonov An-74-200,RA-74056,ShAR,0,Barneo Camp ...,,,A1
4/13/2015,Lockheed NC-130F Hercules,148897,USMC,0,Port Hueneme...,,,A1
4/14/2015,Airbus A320-232,HL7762,Asiana Airlines,0,Hiroshima In...,,,A1
4/21/2015,Lockheed AC-130J Ghostrider,Sep-10,USAF,0,near Valparaiso-E...,,,A1
4/25/2015,Airbus A320-232,TC-JPE,THY,0,Istanbul-Ata...,,,A1
4/25/2015,Beech 200 Super King Air,YV2803,SATA,0,Maracaibo-La...,,,A1
5/10/2015,Xian MA60,B-3476,Joy Air,0,Fuzhou Chang...,,,A1
5/10/2015,Antonov An-2,RF-01159,"DOSAAF, Rostov ATSK",0,Azov distric...,,,A1
5/18/2015,Antonov An-2R,RA-56528,private,0,"Sanamer, Sta...",,,A1
5/19/2015,Cessna 208B Caravan I,5Y-NKV,Airworks,0,Mandeng Airs...,,,A1
6/11/2015,Hawker 800XP,N497AG,Swat Technology,0,Port Harcour...,,,A1
6/15/2015,Antonov An-2R,RA-84553,Vodoley,0,Tatsinsky di...,,,A1
6/17/2015,Boeing 747-451,N664US,Delta Air Lines,0,over China,,,A1
6/19/2015,Antonov An-2R,RA-40646,Vostok Aviakompania,0,"near Kezhma, Kezh...",,,A1
1/2/2016,Cessna 208B Grand Caravan,N540ME,Wright Air Service,0,near Anaktuvuk Pa...,,,A1
1/4/2016,Beech 200 Super King Air,N275X,Skyway Aircraft,0,St. Petersbu...,,,A1
1/9/2016,ATR 72-212A (ATR 72-500),PR-PDD,Passaredo Linhas Aéreas,0,Rondonópolis...,,,A1
1/18/2016,Dassault Falcon 20F-5,N706SB,Sterling LIHTC,0,Scottsdale A...,,,A1
1/28/2016,Cessna 208 Caravan I,VH-WTY,Hamilton Island Air,0,"Chance Bay, ...",,,A1
1/28/2016,MD-83,EP-ZAB,Zagros Air,0,Mashhad Airp...,,,A1
2/26/2016,IPTN/CASA CN-235M-VIP,M44-07,Royal Malaysian AF,0,near Kuala Selangor,,,A1
3/3/2016,Cessna 208 Caravan I,3004,South African AF,0,near Langebaanweg...,,,A1
3/22/2016,Swearingen SA226-TC Metro II,LV-ZEB,CEDMA Aviación,0,Río Grande A...,,,A1
3/23/2016,Avro RJ85,EI-RJG,CityJet,0,Florence-Per...,,,A1
3/27/2016,Fokker 100,UP-F1012,Bek Air,0,Astana Inter...,,,A1
4/7/2016,Douglas C-47A (DC-3),HK-2663,Aerolineas Llaneras - Arall,0,near Puerto Gaitá...,,,A1
4/24/2016,Swearingen SA226-AT Merlin IVA,EC-GFK,Flightline,0,Gerona-Costa...,,,A1
4/28/2016,Embraer ERJ-190,HC-COX,TAME Ecuador,0,Cuenca-Maris...,,,A1
5/5/2016,Convair CV-580 Airtanker,C-FEKF,Conair Aviation,0,Manning Airp...,,,A1
5/6/2016,Antonov An-2R,N2AN,American Airpower,0,near San Bernardi...,,,A1
6/5/2016,BAe-125-800B,RA-02773,Aerolimousine,0,near Neryungri Ai...,,,A1
6/6/2016,MD-11F,N277UP,UPS,0,Seoul-Incheo...,,,A1
6/6/2016,Cessna 560 Citation Ultra,N145KK,Red Wing Aeroplane Company,0,Gainesville-...,,,A1
6/14/2016,Antonov An-32A,EK32120,"Coco Aviation, lsf Ayk Avia",0,Bor Airport,,,A1
6/14/2016,Cessna 208B Grand Caravan EX,PK-RKC,Associated Mission Aviation,0,"Lolat, Yahuk...",,,A1
6/19/2016,BAe-146-300,EP-MOF,Mahan Air,0,Khark Airpor...,,,A1
6/26/2016,Canadair CL-215,1111,Hellenic AF,0,near Dervenochoria,,,A1
1/2/2017,Cessna F406 Caravan II,5H-WOW,Air Excel,0,Sasakwa Airs...,,,A1
1/2/2017,Let L-410UVP,9Q-CZR,Doren Air Congo,0,Shabunda Air...,,,A1
1/7/2017,Canadair Challenger 604,D-AMSC,MHS Aviation,0,"near Muscat, Oman",,,A1
1/11/2017,Cessna 560 Citation Encore,LN-IDB,Hesnes Air,0,near Oslo-Garderm...,,,A1
1/16/2017,Cessna 525C Citation CJ4,N525PZ,Zeliff Aviation,0,Howell-Livin...,,,A1
1/27/2017,Beech 200T Super King Air,N60RA,Eastern Air Express,0,West Palm Be...,,,A1
2/9/2017,BAe-125-800B,PT-OTC,Líder Táxi Aéreo,0,São Paulo-Gu...,,,A1
2/14/2017,Beech B200 Super King Air,N313HS,Grant Aviation,0,Unalaska Air...,,,A1
