Year,Deaths, est. Vehicles (millions),est. Vehicle miles (billions),est. Drivers (millions),"Deaths per 10,000 motor vehicles","Deaths per 100,000,000 vehicle miles","Deaths per 100,000 vehicle miles","Deaths per 100,000 population",,,,,,,,,,,,,,,,,,
1972,"56,278",122.3,"1,268",118.4,4.60,4.43,0.0044,26.9,,,,,,,,,,,,,,,,,,
1973,"55,511",129.8,"1,309",121.6,4.28,4.24,0.0042,26.3,,,,,,,,,,,,,,,,,,
1974,"46,402",134.9,"1,290",125.6,3.44,3.59,0.0036,21.8,,,,,,,,,,,,,,,,,,
1975,"45,853",137.9,"1,330",129.8,3.33,3.45,0.0034,21.3,,,,,,,,,,,,,,,,,,
1976,"47,038",143.5,"1,412",133.9,3.28,3.33,0.0033,21.6,,,,,,,,,,,,,,,,,,
1977,"49,510",148.8,"1,477",138.1,3.33,3.35,0.0034,22.5,,,,,,,,,,,,,,,,,,
1978,"52,411",153.6,"1,548",140.8,3.41,3.39,0.0034,23.6,,,,,,,,,,,,,,,,,,
1979,"53,524",159.6,"1,529",143.3,3.35,3.50,0.0035,23.8,,,,,,,,,,,,,,,,,,
1980,"53,172",161.6,"1,521",145.3,3.29,3.50,0.0035,23.4,,,,,,,,,,,,,,,,,,
1981,"51,385",164.1,"1,556",147.1,3.13,3.30,0.0033,22.4,,,,,,,,,,,,,,,,,,
1982,"45,779",165.2,"1,592",150.3,2.77,2.88,0.0029,19.8,,,,,,,,,,,,,,,,,,
1983,"44,452",169.4,"1,657",154.2,2.62,2.68,0.0027,19.0,,,,,,,,,,,,,,,,,,
1984,"46,263",171.8,"1,718",155.4,2.69,2.69,0.0027,19.6,,,,,,,,,,,,,,,,,,
1985,"45,901",177.1,"1,774",156.9,2.59,2.59,0.0026,19.3,,,,,,,,,,,,,,,,,,
1986,"47,865",181.4,"1,835",159.5,2.63,2.60,0.0026,19.9,,,,,,,,,,,,,,,,,,
1987,"48,290",183.9,"1,924",161.8,2.63,2.51,0.0025,19.9,,,,,,,,,,,,,,,,,,
1988,"49,078",189.0,"2,026",162.9,2.60,2.42,0.0024,20.1,,,,,,,,,,,,,,,,,,
1989,"47,575",191.7,"2,107",165.6,2.48,2.26,0.0023,19.3,,,,,,,,,,,,,,,,,,
